RB2PBM4KCore.dll fileVersion,2.0.4.0
USE RGB MEASURE LEVEL,FULL DATA
RED
3936,0,0

GREEN
0,3936,0

BLUE
0,0,3936

WHITE
3936,3936,3936
0,0,0
32,32,32
64,64,64
96,92,92
128,124,124
160,156,156
192,188,188
384,376,376
576,564,564
768,748,748
960,936,936
1280,1248,1248
1664,1624,1624
2176,2124,2124
2688,2636,2636
3200,3164,3164
3712,3692,3692


COOL
LEVEL,R,G,B,x(calc),y(calc),Y(calc),x(target),y(target),Y(target),STATUS
0,0,0,0,0.273884175580966,0.259313906307636,0.1406,0,0,0.1406,
1,31,33,34,0.27351410844065,0.260786175261369,0.151872825138981,0,0,0.151996416653355,
2,60,65,66,0.271653072524904,0.260954951186079,0.192490803547891,0,0,0.19296418025028,
3,96,103,105,0.269836823412969,0.257020713122447,0.269489096584006,0,0,0.268371819432507,
4,131,141,144,0.268748000687012,0.259043987662556,0.381658578984428,0,0,0.381202590857058,
5,169,182,185,0.269156471165939,0.262384518726853,0.532711207982556,0,0,0.533699352275117,
6,206,222,226,0.26810182959607,0.262748847274247,0.725962012184086,0,0,0.727685115188395,
7,242,260,265,0.267614567739621,0.263752472082546,0.961877887522777,0,0,0.964707765933168,
8,277,297,303,0.267813824447031,0.266099687045839,1.24852760959028,0,0,1.24611920130211,
9,309,332,338,0.268629339942246,0.270139333118111,1.57575142376767,0,0,1.57312377810237,
10,340,365,372,0.269941492133492,0.27425656634041,1.94602115581923,0,0,1.94681031723531,
11,369,397,404,0.271543094024833,0.279390195135088,2.3613247636438,0,0,2.3681744401668,
12,399,429,437,0.273390406906979,0.28399985556137,2.84236227283916,0.273725816440084,0.283912504848195,2.83813482424062,OK
13,432,460,478,0.273914797006116,0.283497842433042,3.3969265275491,0.273827429761764,0.283737447112386,3.39943635551352,OK
14,463,492,518,0.273859604172864,0.283583474319308,4.01997707005399,0.273928963207359,0.283562526985763,4.01885395421869,OK
15,495,523,557,0.274100540195093,0.282986297905574,4.69470310900026,0.274030416871016,0.283387744306133,4.6978823967096,OK
16,526,555,594,0.274214334221446,0.283128807810968,5.43840410778975,0.274131790846733,0.283213098911556,5.43798552951702,OK
17,557,587,630,0.274256281472467,0.28305597176322,6.24178051249352,0.27423308522836,0.283038590640349,6.24060057879224,OK
18,588,619,665,0.274256100767331,0.282928714393521,7.10707253198258,0.274334300109602,0.28286421933108,7.10714168747207,OK
19,620,651,698,0.274750960753152,0.283355865392555,8.04159455562942,0.274447724105651,0.283079987003284,8.03436483481342,OK
20,651,683,730,0.275019037862192,0.283922513357435,9.04139980662893,0.274561239812532,0.283295929137979,9.02717625379702,OK
21,681,714,763,0.274660777767422,0.28349735303652,10.0939373840269,0.274674847341522,0.283512045946847,10.0868338712315,OK
22,711,745,794,0.274685707353902,0.28383998089989,11.2191352297692,0.274788546804078,0.283728337641914,11.2145804615463,OK
23,742,775,825,0.274882085246758,0.283861954004302,12.4078705672458,0.274902338311836,0.283944804435547,12.4116452440774,OK
24,773,805,856,0.275071461779195,0.283920739698373,13.675972894751,0.275016221976615,0.284161446540459,13.6792452687778,OK
25,802,836,887,0.274888648274005,0.284286372237714,15.0337230000084,0.274916118818966,0.28426743464273,15.0047837714125,OK
26,831,866,918,0.27474846373276,0.284300811508781,16.4319566799893,0.274771905282349,0.284287802186607,16.4007720380014,OK
27,860,896,949,0.274660974134208,0.284305610266296,17.8967687865776,0.274627665523437,0.284308173433908,17.8682210143378,OK
28,888,926,980,0.274441025101822,0.284261220622767,19.4141793603605,0.274483399535075,0.284328548385642,19.4081317326768,OK
29,916,957,1011,0.274275311612065,0.284454603673642,21.0276541669131,0.27433910731011,0.28434892704282,21.0214961152516,OK
30,945,988,1043,0.274151770850903,0.284317672562589,22.7210933006956,0.274194788841383,0.284369309406453,22.7092976941865,OK
31,974,1018,1074,0.274209011563405,0.284178027665565,24.4346376417212,0.274203134112354,0.28436605831769,24.4474638904405,OK
32,1003,1049,1105,0.274286992029939,0.284293622573058,26.2553988063233,0.27421147922478,0.284362807290693,26.2583874926817,OK
33,1118,1173,1231,0.274244114343467,0.28433158152338,34.2855868876502,0.274244858089123,0.284349803800317,34.2446260536683,OK
34,1232,1294,1356,0.274241436229731,0.284446885451838,43.4489868745088,0.274278234417107,0.284336801298037,43.4540179056465,OK
35,1347,1410,1481,0.274292222346624,0.283971331466123,53.6653744537022,0.274279359089221,0.283993569465091,53.6682635156498,OK
36,1461,1526,1605,0.274268087749051,0.28374178979589,65.0963830656487,0.27428048218154,0.283650819760324,65.0841414494014,OK
37,1575,1642,1729,0.274203147369759,0.283360712349246,77.72926306242,0.27428160369739,0.283308551168601,77.7273255966654,OK
38,1687,1760,1851,0.274162116609191,0.283448486372247,91.6288573835166,0.274116450201905,0.283412082709454,91.6649088000972,OK
39,1797,1880,1974,0.273931840570902,0.283574127515809,106.877275685303,0.273951207901721,0.283515669920259,106.891636823447,OK
40,1908,2000,2098,0.273783292327276,0.283574085390234,123.414610580391,0.273785876725193,0.283619312845931,123.431752042482,OK
41,2018,2121,2222,0.273623046561832,0.283749015048908,141.292940847077,0.273620456600597,0.28372301153143,141.308728226422,OK
42,2133,2243,2347,0.273785488126514,0.284000348853189,160.775097089589,0.273796432624539,0.283973602375209,160.711494962389,OK
43,2248,2364,2471,0.27397946407386,0.284273013438403,181.494580950864,0.273972568258453,0.284224420504482,181.538081170039,OK
44,2365,2486,2597,0.274151117656291,0.284465469640791,203.875417749306,0.274148863719586,0.28447546622861,203.814247171583,OK
45,2481,2607,2722,0.274299702374903,0.284672047077574,227.555250644669,0.27432531922558,0.284726739857517,227.56532591868,OK
46,2597,2728,2847,0.274440633941423,0.284889687808086,252.76670404542,0.27444993740093,0.284923124159971,252.788666426828,OK
47,2713,2849,2972,0.274578791768693,0.285088553205399,279.525165802055,0.274574645115635,0.285119649566429,279.530802471736,OK
