u,v
0.1913,0.4608
0.1916,0.4507
0.1926,0.4512
0.1932,0.4536
0.1906,0.4598
0.191,0.4496
0.1916,0.4596
0.1929,0.4556
0.1909,0.4596
0.191,0.4603
0.1919,0.4612
0.1935,0.4609
0.1935,0.4595
0.1936,0.4577
0.1939,0.4573
0.195,0.4556
0.1916,0.4581
0.1912,0.448
0.192,0.448
0.1929,0.4583
0.1926,0.461
0.1932,0.4606
0.1936,0.4601
0.1955,0.4569
0.1923,0.4609
0.1926,0.4602
0.193,0.4596
0.195,0.4581
0.192,0.4605
0.192,0.4605
0.1935,0.4596
0.1955,0.4583
0.1924,0.4611
0.1935,0.4608
0.1934,0.4599
0.1951,0.4565
0.1928,0.4613
0.1936,0.4604
0.1933,0.4601
0.1955,0.4566
0.1926,0.461
0.192,0.4605
0.193,0.4599
0.1934,0.4589
0.1937,0.4609
0.1936,0.4604
0.1942,0.4607
0.1945,0.4601
0.1913,0.4608
0.1916,0.4505
0.1926,0.4512
0.1912,0.4546
0.1944,0.4599
0.1935,0.4578
0.1943,0.4588
0.1955,0.4567
0.1928,0.4599
0.1934,0.4596
0.1944,0.4578
0.1937,0.458
0.1931,0.46
0.1939,0.4599
0.1948,0.4579
0.194,0.461
0.1928,0.4605
0.1931,0.4598
0.1936,0.4588
0.1935,0.4605
0.1916,0.462
0.193,0.4609
0.1939,0.4596
0.1947,0.4591
0.1916,0.462
0.193,0.461
0.1939,0.4595
0.1947,0.4598
0.1913,0.4608
0.1916,0.4507
0.192,0.448
0.1929,0.4583
0.1923,0.4608
0.1935,0.4597
0.1934,0.4585
0.1933,0.4601
0.1909,0.46
0.1916,0.4597
0.1913,0.4601
0.192,0.4605
0.1935,0.4595
0.1936,0.4577
0.1939,0.4573
0.195,0.4556
0.193,0.4567
0.1935,0.4575
0.1937,0.4572
0.1945,0.4577
0.1927,0.4578
0.1924,0.4579
0.1921,0.458
0.1923,0.4587
0.1922,0.4598
0.1916,0.4595
0.1912,0.4595
0.1922,0.46
0.1916,0.462
0.193,0.4609
0.1939,0.4596
0.1947,0.4591
0.193,0.462
0.193,0.4609
0.1939,0.4596
0.1931,0.4591
0.1916,0.4581
0.1912,0.448
0.192,0.448
0.1929,0.4583
0.1936,0.4565
0.1942,0.4557
0.1947,0.4539
0.194,0.4535
0.1923,0.4596
0.1917,0.4598
0.1915,0.4599
0.1925,0.4602
0.1932,0.4597
0.1925,0.4591
0.1933,0.458
0.1924,0.4594
0.1941,0.4618
0.1942,0.4619
0.1943,0.4617
0.1944,0.4596
0.193,0.4599
0.1924,0.459
0.193,0.4583
0.1924,0.4599
0.1898,0.4562
0.1895,0.4553
0.1902,0.4566
0.1904,0.4569
0.1932,0.4617
0.1938,0.4609
0.1947,0.4611
0.1941,0.4604
0.1917,0.4599
0.1917,0.4594
0.1916,0.4596
0.1922,0.4608
0.1942,0.4602
0.1945,0.4605
0.1938,0.4611
0.1939,0.4617
0.1922,0.4598
0.1916,0.4595
0.1914,0.4595
0.1922,0.4608
0.1942,0.4623
0.1941,0.4618
0.1936,0.4613
0.1942,0.4606
